metabolite_id	metabolite_name	analysis_id	units	PMN_02	PMN_03	PMN_04	PMN_05	PMN_06	PMN_07	PMN_08	PMN_10	PMN_12	PMN_13	PMN_14	PMN_15	PMN_16	PMN_19	PMN_21	PMN_22	PMN_25	PMN_27	PMN_28	PMN_29	PMN_32	PMN_34	PMN_35	PMN_36	PMN_38	PMN_40	PMN_41	PMN_42	PMN_43	PMN_46	PMN_48	PMN_49	PMN_50	PMN_51	PMN_52	PMN_53	PMN_54	PMN_55	PMN_56	PMN_57	PMN_58	PMN_59	PMN_60	PMN_61	PMN_62	PMN_63	PMN_64	PMN_65	PMN_66	PMN_67	PMN_68	PMN_69	PMN_70	PMN_71	PMN_72	PMN_73	PMN_74	PMN_75	PMN_76	PMN_77	PMN_78	PMN_79	PMN_80	PMN_81	PMN_82	PMN_83	PMN_84	PMN_85	PMN_86	PMN_87	PMN_88	PMN_89	PMN_90	PMN_91	PMN_92
ME585892	N-Acetylornithine	AN004046	MS reading	792476.1851	1715906.552	1749117.821	44887.60909	3743752.092	345406.7669	228643.4653	793399.4933	49422.30535	370771.5496	898655.6937	324783.0633	284440.8867	6070.174209	151268.5745	529370.5788	279607.8799	113758.0327	1025531.908	659212.7959	251847.281	218094.0138	411777.7096	41491.80871	8099939.219	34032.7924	5409547.478	255344.3181	1883448.827	468658.6044	595098.576	50337.53441	1692306.271	31789.71152	46970.47565	60732.21094	953051.4424	132859.9472	125955.0142	203183.3647	25367.59107	733764.58	193854.3299	109209.2944	49197.29648	144828.2643	292104.8209	5268.98047	4840.478346	97379.75305	469069.1192	125551.9115	377329.7101	5015.232422	83504.25128	482171.8142	1508835.677	743115.413	580509.4697	198317.6443	943403.3913	689762.0016	740823.4758	1628912.714	188793.1988	1083666.828	1546396.638	920940.7958	768694.6964	1385720.114	1627309.11	2393750.815	2022021.412	1128495.367	2073795.067
ME585893	N-Acetylserine	AN004046	MS reading	67562021.51	53168422.26	127137086	152104537.8	109692553.9	85371161.32	128427496.2	110061943.6	109266245.3	122688720.6	92707926.46	115454359.2	75450974.38	80642645.05	83021631.05	83518158.47	141501366.5	110062577.1	76331084.58	157228301.4	124662368.5	193535059.6	104710575.5	100211209.7	47398328.72	73080995.39	84245563.34	109301899.8	119257692.4	91136565.74	126703623	77864167.1	112994365.9	113922097.1	169019112.3	130066915.6	168876432.2	200525174.7	147725890.3	101015102.7	74269365.66	131582516.5	36781567.07	69816812.15	77289613.73	161863416.2	110255046.6	176242815.2	221962794	213249278.4	163730484.2	59473766.51	148038554.5	114034881.9	86639805.83	55501692.21	127833754.7	124483514.6	186967187	154265815.5	162512459.1	185018120.5	112074940.4	104824111.5	174993674.3	205144321.7	211657387.3	177045326.2	194070555.3	126430973.9	177154552.5	171578675.7	172054679.6	134254673.9	170367075.6
ME585894	NAD+	AN004046	MS reading	34355574.19	16923306.06	54098337.54	62225925.69	77839354.57	46333640.66	22874513.2	61084529.94	52657145.6	29133114.64	49633494.07	39449018.74	19071465.23	31196017.53	22371790.6	34136940.54	61013330.98	63797775.76	22457160.94	41786591.22	20328621.15	18331267.99	52782844.35	90875615.54	93171549.9	54765196.94	16042107.06	19601815.89	22090461.78	22086170.79	26751857.08	52256916.64	36803410.73	36912552.94	64361208.71	38425739.66	57861378.99	72477991.14	47244007.67	62637708.87	61368564.71	81815119.93	24602001.44	38812098.44	53383116.32	51011685.83	82050101.37	43638355.1	48232089.89	70197247.83	30702353	89703914.04	106121306.1	63605729.99	75283379.86	78021566.98	21862423.58	17176379.04	68241363.3	34460478.61	28303292.34	61422621.31	17735966.47	35911134.51	50819245.45	68811136.57	22035290.87	51617172.51	39145660.83	47618827.16	53542936.07	59013138.77	50026309.28	35068418.38	39934558.08
ME585895	NADH	AN004046	MS reading	5963318.856	7832675.746	5813080.593	2173928.256	8109578.642	2516854.138	1556712.247	4277992.382	2318821.47	2818206.463	5199931.992	1339916.981	2114333.823	463635.3954	3067249.609	2077127.024	2381371.993	6457447.414	2068663.121	4711364.254	1337739.354	2711797.824	2822242.441	3993440.355	869103.679	7228503.497	2646955.941	425931.9122	2527274.422	2125896.15	556280.6248	3048741.045	1651142.204	1189924.522	2927643.599	1476453.983	3199648.574	3152809.794	2116603.907	1632362.618	11017200.41	1768529.838	179963.1355	34531.78374	1811148.8	1162258.261	5739767.134	2339497.739	758820.4786	1823754.755	920148.5887	4123311.096	2202455.586	1202902.701	2847813.086	1851508.533	7956199.293	19748064.89	7652761.197	5834832.117	3024175.098	8280923.586	4394666.615	2883189.566	1705444.16	3051146.865	10191993.24	3848850.828	2878838.715	3934462.786	10855402.4	10431998.56	6720365.586	2504558.65	3264620.804
ME585896	NADP+	AN004046	MS reading	12443534.89	26458776.08	10377644.34	17831905.25	11302633.93	4619139.94	8598484.974	9305874.778	8462230.505	11665121.63	6253205.415	5086751.345	7375009.946	3642008.235	9000058.98	4579227.19	5097747.995	5667862.42	5732759.117	13004367.19	4918141.934	8862934.553	5344303.064	7251434.251	24343859.43	4853791.937	9882216.869	3583368.913	5500001.888	5650512.315	2037983.794	15330542.85	4654680.721	4813657.278	4531188.883	6379061.673	6935842.6	4951087.795	8560109.993	5835810.188	6045786.623	2956951.242	2457200.567	3516247.358	4897196.677	6384056.446	4619281.62	5375556.434	3777909.906	5313723.832	5873721.019	3794912.165	15496583.17	6800279.364	7108644.633	2998983.813	12228074.66	11161647.24	6951859.796	5644342.474	9692875.776	8811554.099	5389191.329	4035509.742	5808646.233	9567990.563	13574652.62	8508840.237	7298289.569	19727212.95	13068121.82	11817175.65	13123980.53	6634311.297	9958004.3
ME585897	NADPH	AN004046	MS reading	431579.3329	2764.339528	540579.6348	5416.984731	938289.3699	73374.43857	41665.33044	133035.1254	658201.4902	532847.4139	694869.564	807864.092	156314.6008	456490.8395	29846.86891	277769.3927	1041404.63	1179399.934	1289875.777	60691.23951	700056.2843	216223.4596	47323.03584	799759.1899	5445.378301	761578.4551	256809.5612	399006.2904	35013.25495	4862.432043	385346.3334	1519989.805	226445.6863	1628115.083	948558.1803	982184.3649	1897138.675	774181.4486	421268.0377	974787.9649	1353423.284	179992.5154	12433.91534	309640.9328	1415132.792	1196786.06	597390.9824	492440.0673	179251.3926	181075.7414	1285238.304	516927.4831	5420.798307	5872.100065	1471646.806	43022.60397	1540091.489	118293.9991	235447.0552	444312.1233	29176.2795	260047.2114	825901.0248	1031402.771	674087.1066	129918.3028	29598.40063	704113.2513	27150.86169	38311.51518	941131.3096	497569.264	3709.39509	284186.5765	37260.87799
ME585898	N-Formylmethionine	AN004046	MS reading	1238895.666	6174691.039	2935904.166	1523515.287	3413942.773	3581831.924	1822914.802	2603620.417	2633856.248	3066065.068	2364018.084	2986366.637	1307233.171	1698655.668	1272008.589	1794028.586	2343247.733	4337828.729	4013506.289	2133854.117	1159754.917	3193972.097	1270281.7	2340112.478	1370803.414	1743444.2	2067387.71	3625695.131	2456487.172	1594773.325	2697753.702	4117299.038	1830571.02	4710113.252	4081034.013	4177819.366	5542053.632	2550373.439	3270267.017	4125358.705	1823122.225	2559425.366	611589.5772	2541708.903	5941573.507	6682783.771	2823901.964	2880947.654	5805550.448	3710013.656	7924066.384	3787924.127	2299814.528	3304102.586	3047621.644	2929046.831	1823336.9	2182487.277	2705168.974	1771905.6	2418662.869	2365693.4	2148269.294	3071440.848	2976562.241	2617251.878	4194090.065	2994439.799	3685324.111	2017928.087	4804927.247	2473361.888	1890331.458	1818662.353	2554644.451
ME585899	Nicotinamide	AN004046	MS reading	25007718.5	56609243.67	41642352.67	81472389.82	28931029.27	16959616.06	16355794.37	32079928.63	21585095.92	49182805.79	13022772.15	10297789.94	17340134.25	9102458.584	17153291.34	13573639.11	22784530.57	17167772.95	17283332.43	61386522.3	19939582.36	23874893.92	21439824.35	24447217.87	43454856.63	15284871.84	38167621.82	10307056.62	12782707.8	13945884.62	14814775.25	90427029.41	39127375.21	14230399.79	16778269.02	44718926	15085297.77	31585336.27	34948139.09	26807807.52	24425341.92	16401244.77	41426927.2	15204515.8	13926449.78	30255576.83	28785552.3	39057143.15	49580418.96	19932279.49	32320273.81	32055305.95	71021273.62	58458445.99	43054140.2	109209540.3	159760981.2	204458489.5	20902139.34	6122425.061	20160820.3	24838747.25	94744773.57	11563679.48	15002472.15	23218170.29	364091901.2	21067541.37	12111302.21	20803521	25295796.18	28515240.64	27938055.53	6880810.576	11969367.72
ME585879	N,N-Dimethylarginine	AN004046	MS reading	62871435.55	81137232.11	72928904.42	41150352.22	106313915.5	89999228.41	64255706.81	69933260.02	69578754.66	86785004.43	102728821.3	71167522.81	97402219.96	85627776.88	62634053.21	75363807.23	101072501.6	105248423	125192294.7	62052836.55	59326724.78	96163306.67	62191387.58	186249235.5	62444278.97	82508794.45	93838691.25	99387642.59	115716601	68701757.22	103589357.7	76719760.67	105515689.5	147385081.4	160398447.4	95985722.01	131180671.5	103663956	127739271.6	129144390.1	97776924.19	170993179	28481153.89	101377413.8	124377139.4	201628076.4	134677239.8	84728266.95	133114908.5	101339704.4	469028291.8	99300807.95	92775773.66	102820736	177926526.8	139728770.5	72759397.47	79853625.78	70880850.2	75609245.43	68701910.23	107957635.4	52141751.41	78221161.91	97782844.16	66889789.09	86586025.69	90503789.2	80188622.28	72992284.34	103606173.2	85250968.33	49488258.91	64602009.5	59223815.92
ME585880	N,N-Dimethyllysine	AN004046	MS reading	5169640.183	9886252.841	4657490.07	4687398.528	7148684.502	3144212.31	3680938.28	5894917.352	4227811.511	6510382.762	6238868.511	2586423.841	5528909.976	2857595.919	2794073.029	2438881.979	6212218.602	4933797.475	3654539.528	4684902.894	4296914.136	6378105.485	7960869.053	7302462.251	32678810.19	4224996.14	8012700.759	4470356.931	10784020.52	4264554.329	3929734.58	6604978.823	4805306.064	8676032.322	6899976.004	15718898.93	7188990.331	7610990.986	12812608.29	5580440.556	5820110.709	9422176.316	2580647.645	4682462.997	4042131.624	12135015.38	7665750.935	8143450.032	4322073.842	8689585.13	11261566.27	3302623.007	11959349.28	9729599.944	6854489.862	4323280.079	14057894.09	7493177.046	4683548.387	4299982.236	6720695.173	9466877.002	5209763.593	5637161.06	7246626.923	5924682.809	11887319.4	3332725.641	3774454.022	6341965.437	7156890.578	5952307.787	3587907.26	3582943.672	3930043.559
